Station_ID,state_abbr,date,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa
KDEN_Denver,CO,2021-01-01,-1.4583333333333333,65.0625,10.108666875,16.0692599,0.0,834.7345525312501
KDEN_Denver,CO,2021-01-02,1.3368055555555556,49.625,16.143691875,16.0692599,0.0,829.73962728125
KDEN_Denver,CO,2021-01-03,4.166666666666667,37.78125,15.59048125,16.0692599,0.0,828.61788559375
KDEN_Denver,CO,2021-01-04,4.131944444444445,38.75,14.936686875,16.0692599,0.0,833.82446021875
KDEN_Denver,CO,2021-01-05,4.343434343434343,45.21212121212121,22.09184909090909,16.069991418181814,0.0,829.8092150303031
KDEN_Denver,CO,2021-01-06,-0.9548611111111112,52.15625,13.126179375,16.0692599,0.0,836.63939690625
KDEN_Denver,CO,2021-01-07,-0.3819444444444445,57.34375,12.824428124999999,16.0692599,0.0,835.295423375
KDEN_Denver,CO,2021-01-08,-0.9722222222222221,56.0,12.019758125,16.0692599,0.0,837.8457983437501
KDEN_Denver,CO,2021-01-09,-2.195767195767196,85.63492063492063,6.743900952380953,6.001305495238095,6.604,838.3895356666667
KDEN_Denver,CO,2021-01-10,-3.401559454191033,88.82456140350877,6.40912596491228,5.7518376280701755,0.0,839.4979630701754
KDEN_Denver,CO,2021-01-11,-1.6498316498316499,47.333333333333336,15.654489090909093,16.069991418181814,0.0,837.6184356060605
KDEN_Denver,CO,2021-01-12,2.9687499999999996,32.0,17.551864375,16.0692599,0.0,835.45416040625
KDEN_Denver,CO,2021-01-13,8.98989898989899,36.54545454545455,25.65190424242424,16.069991418181814,0.0,829.6860735757575
KDEN_Denver,CO,2021-01-14,-0.5723905723905723,37.90909090909091,34.43012242424243,16.069991418181814,0.0,835.4326747878788
KDEN_Denver,CO,2021-01-15,-0.5729166666666666,35.78125,14.886395,16.0692599,0.0,835.0202791875
KDEN_Denver,CO,2021-01-16,1.9618055555555556,51.03125,14.6852275,16.0692599,0.0,833.71863553125
KDEN_Denver,CO,2021-01-17,3.420138888888889,46.75,12.925011875,16.0692599,0.0,831.11534821875
KDEN_Denver,CO,2021-01-18,-0.2777777777777778,59.1875,12.97530375,16.018968025,0.0,834.12076934375
KDEN_Denver,CO,2021-01-19,-2.2395833333333335,55.0,8.95195375,16.0692599,0.0,840.9041318125
