turbine_id,state_abbr,county,project_name,year,turbine_capacity,t_hh,t_rd,t_rsa,t_ttlh,latitude,longitude
3124602,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20208,-89.00029
3124629,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.185871,-88.988403
3123047,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.176174,-89.070839
3127537,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.206757,-89.007698
3124600,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20945,-89.069038
3127447,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.210648,-89.001366
3123049,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.192074,-89.069214
3124542,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.21434,-89.127792
3072609,IL,Coles County,Arends Brothers,2009.0,100.0,,,,,39.531311,-88.02977
3075484,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.390987,-79.224182
3075473,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.378143,-79.194038
3075465,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.425243,-79.259079
3075460,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.388699,-79.222168
3075462,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.414898,-79.244499
3075466,NY,Chautauqua County,Arkwright Summit,2018.0,2000.0,95.0,110.0,9503.32,150.0,42.427994,-79.259148
3075476,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.408447,-79.218674
3075459,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.386463,-79.219643
3075487,NY,Chautauqua County,Arkwright Summit,2018.0,2000.0,95.0,110.0,9503.32,150.0,42.431263,-79.259651
3075468,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.418236,-79.245773
3075456,NY,Chautauqua County,Arkwright Summit,2018.0,2000.0,95.0,110.0,9503.32,150.0,42.430202,-79.232803
3075475,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.397808,-79.231461
3075477,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.410717,-79.231186
3075463,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.417698,-79.250298
3075488,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.427578,-79.245026
3075458,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.382069,-79.209778
3075485,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.393955,-79.2416
3075457,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.381874,-79.20575
3075474,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.416336,-79.22332
3075470,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.410576,-79.22126
3075464,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.420475,-79.250679
3075490,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.428749,-79.248459
3075467,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.379391,-79.197357
3075472,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.381958,-79.214523
3075471,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.395088,-79.221886
3075483,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.427402,-79.229759
3075479,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.424694,-79.25518
3075481,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.393768,-79.215973
3075489,NY,Chautauqua County,Arkwright Summit,2018.0,2000.0,95.0,110.0,9503.32,150.0,42.430599,-79.252396
3075478,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.413719,-79.228981
3075480,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.395222,-79.230286
3075482,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.412853,-79.2239
3075455,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.390697,-79.217438
3075461,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.417694,-79.227005
3075469,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.403996,-79.242203
3075486,NY,Chautauqua County,Arkwright Summit,2018.0,2200.0,95.0,110.0,9503.32,150.0,42.423431,-79.25061
3010715,CO,Adams County,Aurora Wal-Mart,2005.0,50.0,52.0,14.0,153.94,59.0,39.760796,-104.773087
3132534,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.39959,-79.104919
3130110,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.401356,-79.154694
3132784,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.397114,-79.150902
3132166,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.433174,-79.13369
3129968,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,82.0,136.0,14526.72,150.0,42.408081,-79.149063
3130273,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.410995,-79.170029
3132167,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.409363,-79.110374
3129494,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.389446,-79.145569
3131990,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.440777,-79.111069
3130165,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.379074,-79.139694
3130132,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.407494,-79.168526
3130029,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.399033,-79.141388
3130284,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.385502,-79.141006
3129485,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.403126,-79.106316
3132152,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.412903,-79.135292
3129904,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.391869,-79.14872
3131720,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,82.0,136.0,14526.72,150.0,42.397949,-79.119972
3131630,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.417725,-79.137665
3132087,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.421967,-79.141159
3132165,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.428802,-79.125999
3132163,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.451122,-79.13205
3129699,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,82.0,136.0,14526.72,150.0,42.403244,-79.122696
3132314,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.430763,-79.117729
3130264,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.395649,-79.100952
3131805,NY,Chautauqua County,Ball Hill Wind,2023.0,4300.0,105.0,150.0,17671.46,180.1,42.447941,-79.123672
3126094,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.454201,-77.541016
3124539,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.476501,-77.515137
3124621,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.487309,-77.550949
3131472,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.469158,-77.501251
3124566,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.482689,-77.548973
3126090,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.488575,-77.542908
3124638,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.504478,-77.529701
3125981,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.439297,-77.593185
3125982,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.458469,-77.55983
3125974,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.458309,-77.543373
3126079,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.461494,-77.533653
3129466,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.477547,-77.506783
3124501,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.50288,-77.538094
3130207,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.466175,-77.500595
3129095,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.456516,-77.52343
3126078,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.466091,-77.538055
3129018,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.507652,-77.527206
3124551,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.480721,-77.512199
3124547,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.470379,-77.512711
3128991,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.462566,-77.502548
3124554,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.484249,-77.529823
3124552,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.480968,-77.534691
3124576,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.507278,-77.548981
3130145,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.504585,-77.52092
3125996,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.478436,-77.54911
3124574,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.474751,-77.549026
3126019,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.477005,-77.538437
3129838,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.457047,-77.51619
3126086,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.462643,-77.543266
3130223,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.46122,-77.558609
3125953,NY,Steuben County,Baron Winds I,2023.0,4200.0,120.0,150.0,17671.46,195.1,42.473072,-77.541313
3125998,NY,Steuben County,Baron Winds I,2023.0,2625.0,93.0,114.0,10207.03,150.0,42.445675,-77.589149
3137971,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.411541,-77.575172
3138157,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.410347,-77.591949
3139413,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.394356,-77.57962
3139253,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.419186,-77.577362
3138015,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.394547,-77.561226
3139453,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.436779,-77.567932
3138012,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.383881,-77.579994
3138092,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.409813,-77.582649
3138004,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.440605,-77.581894
3137937,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.402462,-77.5755
3138046,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.372955,-77.600563
3138039,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.449116,-77.580467
3138056,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.425167,-77.604408
3139227,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.380363,-77.5783
3137873,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.43137,-77.568123
3137989,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.384357,-77.596169
3138060,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.435955,-77.583618
3138050,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.410736,-77.60202
3138128,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.42976,-77.604454
3137916,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.421471,-77.585793
3137875,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.374855,-77.593651
3138014,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.396488,-77.594589
3138078,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.390198,-77.594803
3137867,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.39674,-77.570694
3138149,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.425488,-77.584366
3137858,NY,Steuben County,Baron Winds II,2025.0,4500.0,120.0,150.0,17671.46,195.0,42.389984,-77.580528
3111800,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.949585,-89.106384
3111192,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.975807,-89.08918
3111289,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.947151,-89.079941
3111286,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.994896,-89.073196
3111176,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.927105,-89.071198
3112520,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.970993,-89.07769
3112420,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.972366,-89.059174
3112049,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.945419,-89.059311
3111336,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.974976,-89.079971
3111182,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.990227,-89.06797
3112646,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.949505,-89.11203
3112465,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.951488,-89.11721
3111287,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.989201,-89.074036
3112191,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.932343,-89.063843
3112749,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.962162,-89.112221
3111290,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.92791,-89.063408
3112731,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.943249,-89.075668
3112647,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.948948,-89.071457
3111591,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.976135,-89.06115
3111385,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.996796,-89.065323
