record_id,flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,make_model,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,cost,damage,effect,wildlife_species,remarks,remains_collected,remains_sent_to_smithsonian,pilot_warned,number_struck,wildlife_size,people_injured,number_struck_actual
1091164,2021-02-13,2,2021,LA GUARDIA ARPT,NY,SOUTHWEST AIRLINES,B-737-700,A  ,2.0,Climb,0.0,Unknown,No Precipitation,0.0,N,Not Specified,Unknown bird,"At 1643L, Southwest Maintenance notified Operations that N440LV, a Boeing 737-700 operating flight 1677 from LGA, had struck a bird near the #1 engine on climb out from LGA. It is unknown how far the aircraft was from LGA at the time of the incident. ATL Operations and Southwest Maintenance were unable to locate any evidence of a bird strike anywhere on the aircraft, and no remains were collected. There was no damage to the aircraft.",0,0,Unknown,1,Unknown,0.0,1.0
1091178,2021-02-21,2,2021,CHICAGO O'HARE INTL ARPT,IL,ENVOY AIR,EMB-145,A  ,2.0,Approach,4000.0,Overcast,No Precipitation,0.0,N,Not Specified,Unknown bird - small,"No damage, no operational impact.",0,0,No,1,Small,0.0,1.0
1091182,2021-02-22,2,2021,CENTENNIAL ARPT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Great horned owl,Not Specified,1,0,Unknown,1,Large,0.0,1.0
1091311,2021-02-11,2,2021,MONTROSE REGIONAL ARPT,CO,AMERICAN AIRLINES,B-737-800,A  ,2.0,Approach,10.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,Not Specified,0,0,No,1,Small,0.0,1.0
1091696,2021-02-12,2,2021,PEORIA INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Rusty blackbird,DAY. 2 PHOTOS,1,1,Unknown,1,Small,0.0,1.0
1091815,2021-01-21,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,Routine inspection,1,0,Unknown,1,Small,0.0,1.0
1091816,2021-01-31,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Black-tailed jackrabbit,"One rabbit removed from Rwy 8/26 at Twy R8, on runway centerline.",1,0,Unknown,1,Large,0.0,1.0
1091817,2021-01-22,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Black-tailed jackrabbit,FAA Tower reported rabbit strike on RWY 34L. One rabbit removed.,1,0,Unknown,1,Large,0.0,1.0
1091930,2021-02-06,2,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,Bird found during inspection,1,0,Unknown,1,Small,0.0,1.0
1091936,2021-03-03,3,2021,ROCKY MOUNTAIN METROPOLITAN ARPT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,Carcass found during inspection. Unknown aircraft or operator. Unaware of any reports of strike.,1,0,Unknown,1,Small,0.0,1.0
1091998,2021-03-03,3,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,White-tailed jackrabbit,Found during inspection,1,0,Unknown,1,Large,0.0,1.0
1092012,2021-02-24,2,2021,DENVER INTL AIRPORT,CO,SOUTHWEST AIRLINES,B-737-700,A  ,2.0,Landing Roll,0.0,No Cloud,No Precipitation,0.0,N,Not Specified,Horned lark,SWA 856 reported bird landing RWY 16R. Inspected 16R collected remains of 1 horned lark on 16R @ WB. Negative damage to aircraft.,1,0,No,1,Small,0.0,1.0
1092179,2021-02-22,2,2021,DENVER INTL AIRPORT,CO,AMERICAN AIRLINES,A-321,A  ,2.0,Take-off Run,0.0,Unknown,No Precipitation,0.0,N,Not Specified,Horned lark,Flight crew reported striking a bird during departure from runway 17L at KDEN.  The flight continued to its destination (KCLT) and landed without incident.  Inspection of the aircraft was completed post-flight but no remains/evidence was found to be collected for species ID.  Weather during arrival and landing at KCLT was heavy rainfall so it is possible any remains on the aircraft washed off.  No damage was found on the aircraft. Reported by pilot on takeoff,1,0,Unknown,1,Small,0.0,1.0
1092256,2021-03-08,3,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Red-winged blackbird,Not Specified,1,0,Unknown,1,Small,0.0,1.0
1092274,2021-03-08,3,2021,CHICAGO O'HARE INTL ARPT,IL,AMERICAN AIRLINES,B-737-800,A  ,2.0,Approach,500.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - medium,"Bird feathers, guts, blood along pack inlet. one photo",0,0,Unknown,1,Medium,0.0,1.0
1092446,2021-03-10,3,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American robin,Not Specified,1,0,Unknown,1,Small,0.0,1.0
1092946,2021-02-28,2,2021,JOHN F KENNEDY INTL,NY,JETBLUE AIRWAYS,EMB-190,A  ,2.0,Approach,0.0,Overcast,Rain,0.0,N,Not Specified,Horned lark,Not Specified,1,1,Yes,1,Small,0.0,1.0
1093030,2021-03-10,3,2021,CHICAGO O'HARE INTL ARPT,IL,UNITED AIRLINES,B-737-800,A  ,2.0,Approach,0.0,Overcast,No Precipitation,0.0,Unknown,Not Specified,Unknown bird - small,"Pilot reported he thought he may have hit a bird, but nothing found on runway when operations responded. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1. ",0,0,Yes,1,Small,0.0,1.0
1093052,2021-03-16,3,2021,LONG ISLAND MAC ARTHUR,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Unknown bird - small,DUSK.,1,0,Unknown,1,Small,0.0,1.0
1093296,2021-02-19,2,2021,PEORIA INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,Wildlife remains found on RWY 31. TWO PHOTOS. 3.22.21 added two photos back into public report.,1,1,Unknown,1,Small,0.0,1.0
1093406,2021-03-21,3,2021,DENVER INTL AIRPORT,CO,SOUTHWEST AIRLINES,B-737-700,A  ,2.0,Climb,3000.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - large,No known damage,0,0,Unknown,1,Large,0.0,1.0
1093454,2021-03-24,3,2021,LA GUARDIA ARPT,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,American Kestrel carcass found on RWY 13 south shoulder in between the 13 designation numbers & first set of touch down zone markings. night. ,1,0,Unknown,1,Small,0.0,1.0
1093841,2021-03-24,3,2021,DUPAGE AIRPORT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Climb,100.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Gulls,unknown registration per reporter via email 3.29.21,1,0,Unknown,1,Medium,0.0,1.0
1094029,2021-03-24,3,2021,DUPAGE AIRPORT,IL,BUSINESS,BE-200 KING,A  ,2.0,Climb,100.0,Overcast,No Precipitation,0.0,Unknown,Not Specified,Gulls,NOTE: OWNER/ OPERATOR  EAGLE SHARES LLC/ CEMS. ,0,0,No,2-10,Medium,0.0,6.0
1094076,2021-03-26,3,2021,EAGLE COUNTY REGIONAL,CO,KEY LIME AIR,FAIRCHILD SA227,A  ,2.0,Approach,10.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,Not Specified,0,0,No,1,Small,0.0,1.0
1094146,2021-03-29,3,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,Routine inspection,1,0,Unknown,1,Small,0.0,1.0
1094346,2021-03-30,3,2021,WESTCHESTER COUNTY ARPT,NY,BUSINESS,GULFSTREAM IV ,A  ,2.0,Approach,3000.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - medium,"No physical airframe or engine damage noted. No injuries to report. No immediate action was necessary. The strike occurred approximately 10 miles out on the final approach after intercepting the localizer just past the FARAN intersection on the ILS RWY 16 at the latter half of dusk, it was rather dark yet in VMC conditions on a rather calm evening, temperature on the ground as reported at KHPN was 10C. We were unable to see and avoid anything due to the visual conditions being pretty dark outside. Upon inspection on the ground, we noticed to identifiable locations of impact - 2 splatter areas (assuming 2 birds). There was no noticeable splatter on the fuselage, however splatter was noticed on the leading edge of the left wing and on the #1 engine cowling. BANK OF AMERICA NA . SIX PHOTOS",0,0,No,2-10,Medium,0.0,6.0
