id,ident,type,airport_name,latitude,longitude,elevation_ft,iso_region,municipality,scheduled_service,icao_code,iata_code,state_abbr,airport_name_clean
21113,KSTK,small_airport,Sterling Municipal Airport,40.613497,-103.263833,4040.0,US-CO,Sterling,no,KSTK,STK,CO,STERLING MUNICIPAL AIRPORT
3911,KSWF,medium_airport,New York Stewart International Airport,41.50421,-74.108901,491.0,US-NY,Newburgh,yes,KSWF,SWF,NY,NEW YORK STEWART INTERNATIONAL AIRPORT
3913,KSYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,421.0,US-NY,Syracuse,yes,KSYR,SYR,NY,SYRACUSE HANCOCK INTERNATIONAL AIRPORT
21176,KTAD,small_airport,Perry Stokes Airport,37.2593994141,-104.341003418,5762.0,US-CO,Trinidad,no,KTAD,TAD,CO,PERRY STOKES AIRPORT
21178,KTAZ,small_airport,Taylorville Municipal Airport,39.534199,-89.327797,622.0,US-IL,Taylorville,no,,,IL,TAYLORVILLE MUNICIPAL AIRPORT
21188,KTEX,medium_airport,Telluride Regional Airport,37.9538,-107.907997,9070.0,US-CO,Telluride,yes,KTEX,TEX,CO,TELLURIDE REGIONAL AIRPORT
21196,KTIP,small_airport,Rantoul National Aviation Center - Frank Elliot field,40.293598,-88.142403,737.0,US-IL,Rantoul,no,,,IL,RANTOUL NATIONAL AVIATION CENTER - FRANK ELLIOT FIELD
21289,KUGN,small_airport,Waukegan National Airport,42.422199249268,-87.867897033691,727.0,US-IL,Chicago/Waukegan,no,KUGN,UGN,IL,WAUKEGAN NATIONAL AIRPORT
3940,KUIN,medium_airport,Quincy Regional Airport Baldwin Field,39.942699,-91.194603,768.0,US-IL,Quincy,yes,KUIN,UIN,IL,QUINCY REGIONAL AIRPORT BALDWIN FIELD
20008,KVGC,small_airport,Hamilton Municipal Airport,42.8438,-75.561401,1137.0,US-NY,Hamilton,no,,,NY,HAMILTON MUNICIPAL AIRPORT
21328,KVLA,small_airport,Vandalia Municipal Airport,38.991501,-89.166199,537.0,US-IL,Vandalia,no,KVLA,VLA,IL,VANDALIA MUNICIPAL AIRPORT
21344,KVYS,small_airport,Illinois Valley Regional Airport Walter A Duncan Field,41.351898,-89.153099,654.0,US-IL,Peru,no,KVYS,VYS,IL,ILLINOIS VALLEY REGIONAL AIRPORT WALTER A DUNCAN FIELD
21569,LL01,heliport,OSF Family Medical Center Heliport,40.921607,-90.659007,760.0,US-IL,Monmouth,no,,,IL,OSF FAMILY MEDICAL CENTER HELIPORT
21570,LL04,heliport,Morris Hospital Heliport,41.370119,-88.42731,512.0,US-IL,Morris,no,,,IL,MORRIS HOSPITAL HELIPORT
21571,LL07,small_airport,Herb Tautz Airport,42.06258,-89.968114,853.0,US-IL,Mount Carroll,no,,,IL,HERB TAUTZ AIRPORT
345479,LL08,heliport,Advanced Asphalt Heliport,41.385724,-89.471599,705.0,US-IL,Princeton,no,,,IL,ADVANCED ASPHALT HELIPORT
21573,LL10,small_airport,Naper Aero Club Airport,41.73479843139648,-88.20339965820312,708.0,US-IL,Naperville,no,,,IL,NAPER AERO CLUB AIRPORT
21574,LL11,heliport,Edward Hospital Heliport,41.76060104370117,-88.15029907226562,702.0,US-IL,Naperville,no,,,IL,EDWARD HOSPITAL HELIPORT
21575,LL12,heliport,Brown and Lambrecht Heliport,41.500301361083984,-87.34140014648438,600.0,US-IL,New Lenox,no,,,IL,BROWN AND LAMBRECHT HELIPORT
21576,LL13,small_airport,Stoney Real Estate Airport,38.04859924316406,-88.30059814453125,460.0,US-IL,Enfield,no,,,IL,STONEY REAL ESTATE AIRPORT
350765,LL14,heliport,NW Lake Forest Hospital-Grayslake Heliport,42.337678,-88.009039,823.0,US-IL,Grayslake,no,,,IL,NW LAKE FOREST HOSPITAL-GRAYSLAKE HELIPORT
21579,LL22,small_airport,Brookeridge Air Park,41.73270034790039,-87.99929809570312,750.0,US-IL,Downers Grove,no,,,IL,BROOKERIDGE AIR PARK
21581,LL24,small_airport,Sunset Acres Airport,41.205837,-87.784882,665.0,US-IL,Saint George,no,,,IL,SUNSET ACRES AIRPORT
21582,LL25,heliport,Community Hospital of Ottawa Heliport,41.358195,-88.824964,480.0,US-IL,Ottawa,no,,,IL,COMMUNITY HOSPITAL OF OTTAWA HELIPORT
21583,LL26,small_airport,Schaller Airport,38.272366,-89.857542,434.0,US-IL,New Athens,no,,,IL,SCHALLER AIRPORT
21584,LL27,small_airport,Smith Airport,40.454200744628906,-90.62349700927734,702.0,US-IL,Macomb,no,,,IL,SMITH AIRPORT
21585,LL28,small_airport,Sd Aero Airport,42.43280029296875,-88.71720123291016,930.0,US-IL,Capron,no,,,IL,SD AERO AIRPORT
21586,LL29,heliport,Pana Community Hospital Heliport,39.37889862060547,-89.08439636230469,685.0,US-IL,Pana,no,,,IL,PANA COMMUNITY HOSPITAL HELIPORT
21587,LL32,small_airport,C D Maulding Airport,40.446556,-88.065333,800.0,US-IL,Paxton,no,,,IL,C D MAULDING AIRPORT
18052,LL34,small_airport,Thorp Airport,40.219343,-88.921983,750.0,US-IL,Wapella,no,,,IL,THORP AIRPORT
21589,LL35,heliport,Chicago Fire Department Air Sea Rescue Heliport,41.724402,-87.526394,598.0,US-IL,Chicago,no,,,IL,CHICAGO FIRE DEPARTMENT AIR SEA RESCUE HELIPORT
21590,LL36,heliport,Exposition Gardens Heliport,40.76250076293945,-89.6167984008789,760.0,US-IL,Peoria,no,,,IL,EXPOSITION GARDENS HELIPORT
21591,LL37,heliport,OSF Saint Francis Medical Center Heliport,40.7016983032,-89.5932006836,585.0,US-IL,Peoria,no,,,IL,OSF SAINT FRANCIS MEDICAL CENTER HELIPORT
21592,LL38,small_airport,Stutzke Airport,41.81054,-89.838188,740.0,US-IL,Sterling,no,,,IL,STUTZKE AIRPORT
21593,LL39,small_airport,Curanda Airport,41.25749969482422,-88.47779846191406,620.0,US-IL,Morris,no,,,IL,CURANDA AIRPORT
21595,LL42,heliport,St James Hospital Heliport,40.87110137939453,-88.68060302734375,660.0,US-IL,Pontiac,no,,,IL,ST JAMES HOSPITAL HELIPORT
21598,LL45,small_airport,Lindell Loveless Airport,39.18230056762695,-89.8218002319336,657.0,US-IL,Gillespie,no,,,IL,LINDELL LOVELESS AIRPORT
21599,LL46,small_airport,Read Airport,40.83530044555664,-88.15280151367188,663.0,US-IL,Piper City,no,,,IL,READ AIRPORT
21602,LL49,small_airport,Raymond Restricted Landing Area,39.062198638916016,-90.27220153808594,658.0,US-IL,Jerseyville,no,,,IL,RAYMOND RESTRICTED LANDING AREA
21603,LL51,small_airport,Riley's Field,41.60419845581055,-88.27369689941406,663.0,US-IL,Plainfield,no,,,IL,RILEY'S FIELD
21604,LL52,small_airport,Wilts Airport,41.16109848022461,-88.93910217285156,650.0,US-IL,Streator,no,,,IL,WILTS AIRPORT
21606,LL54,small_airport,Dunn Airport,41.71939849853516,-89.02999877929688,850.0,US-IL,Paw Paw,no,,,IL,DUNN AIRPORT
21607,LL55,small_airport,Gentry Airport,41.99089813232422,-89.55979919433594,865.0,US-IL,Polo,no,,,IL,GENTRY AIRPORT
21609,LL61,small_airport,Doering's Port Airport,41.68560028076172,-89.90260314941406,606.0,US-IL,Prophetstown,no,,,IL,DOERING'S PORT AIRPORT
21610,LL64,small_airport,Ralph E. Daniels Airport,41.199501037597656,-89.39450073242188,457.0,US-IL,Putnam,no,,,IL,RALPH E. DANIELS AIRPORT
21611,LL65,small_airport,Edgar Read Airport,41.19449996948242,-89.45010375976562,690.0,US-IL,Putnam,no,,,IL,EDGAR READ AIRPORT
21614,LL74,small_airport,Maple Hurst Farms Airport,42.008399963378906,-89.04869842529297,823.0,US-IL,Rochelle,no,,,IL,MAPLE HURST FARMS AIRPORT
21615,LL75,small_airport,Chester Wyss Airport,42.42499923706055,-89.45010375976562,920.0,US-IL,Rock City,no,,,IL,CHESTER WYSS AIRPORT
347155,LL77,small_airport,Herrens Bess Hollow Airfield,39.305,-90.699722,580.0,US-IL,Kampsville,no,,,IL,HERRENS BESS HOLLOW AIRFIELD
21616,LL78,small_airport,LZ Fairwinds Airport,42.312005,-89.151853,752.0,US-IL,Rockford,no,,,IL,LZ FAIRWINDS AIRPORT
21617,LL79,small_airport,Severson Airport,42.39310073852539,-89.13069915771484,813.0,US-IL,Rockford,no,,,IL,SEVERSON AIRPORT
21618,LL80,small_airport,Darrington Airport,42.38199996948242,-89.16120147705078,862.0,US-IL,Rockford,no,,,IL,DARRINGTON AIRPORT
21619,LL81,small_airport,Latham Park Aero Estates Airport,42.375,-89.070099,778.0,US-IL,Rockford,no,,,IL,LATHAM PARK AERO ESTATES AIRPORT
21620,LL82,heliport,Atwood Heliport,42.30220031738281,-89.08180236816406,735.0,US-IL,Rockford,no,,,IL,ATWOOD HELIPORT
21621,LL83,heliport,Javon Bea Hospital-Rockton Heliport,42.29908,-89.099818,731.0,US-IL,Rockford,no,,,IL,JAVON BEA HOSPITAL-ROCKTON HELIPORT
21622,LL84,heliport,St Anthony Medical Center Heliport,42.26950073242188,-89.00340270996094,860.0,US-IL,Rockford,no,,,IL,ST ANTHONY MEDICAL CENTER HELIPORT
21623,LL87,small_airport,Compass Rose Airport,42.454825,-88.9049,970.0,US-IL,Rockton,no,,,IL,COMPASS ROSE AIRPORT
21624,LL88,small_airport,Harry D Fenton Airport,42.47499847412109,-89.08899688720703,770.0,US-IL,Rockton,no,,,IL,HARRY D FENTON AIRPORT
21625,LL89,small_airport,Blackhawk Farms Inc Airport,42.48720169067383,-89.10790252685547,759.0,US-IL,Rockton,no,,,IL,BLACKHAWK FARMS INC AIRPORT
21626,LL90,small_airport,McCurdy Strip,42.446962,-88.900472,960.0,US-IL,Caledonia,no,,,IL,MCCURDY STRIP
21628,LL94,small_airport,Mc Curdy Airport,42.4345016479,-88.99949646,755.0,US-IL,Roscoe,no,,,IL,MC CURDY AIRPORT
21629,LL95,heliport,Clarke Heliport,41.9863448836,-88.1004622579,805.0,US-IL,Roselle,no,,,IL,CLARKE HELIPORT
21630,LL97,small_airport,Rockenbach Airport,42.33890151977539,-88.08480072021484,800.0,US-IL,Round Lake,no,,,IL,ROCKENBACH AIRPORT
21631,LL98,small_airport,John W Meils Restricted Landing Area,40.943805,-89.108526,705.0,US-IL,Toluca,no,,,IL,JOHN W MEILS RESTRICTED LANDING AREA
22669,N25,small_airport,Blue Heron Airport,42.6973,-74.1996,1200.0,US-NY,Delanson,no,,,NY,BLUE HERON AIRPORT
22678,N45,small_airport,Kobelt Airport,41.627899,-74.133797,420.0,US-NY,Wallkill,no,,,NY,KOBELT AIRPORT
