flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,wildlife_species,pilot_warned,wildlife_size,latitude,longitude,elevation_ft,nearest_turbine_km,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,season,migration_density,is_peak_migration,risk_target
2021-02-05,2,2021,CHICAGO MIDWAY INTL ARPT,IL,VOLARIS,A  ,2.0,Approach,300.0,Some Cloud,No Precipitation,Unknown bird - medium,No,Medium,41.785999,-87.752197,620.0,8.59,-10.663082437275984,68.74193548387096,30.473631612903223,14.499115116129031,0.0,980.1632759032258,Winter,0.1642,0,1
2021-02-08,2,2021,REPUBLIC AIRPORT,NY,BUSINESS,A  ,2.0,Approach,100.0,No Cloud,No Precipitation,Unknown bird - small,No,Small,40.728576,-73.414267,82.0,50.65,-5.329861111111111,56.5625,17.149529375,16.0692599,0.0,1028.03392671875,Winter,0.2246,0,0
2021-02-19,2,2021,PEORIA INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,40.664167,-89.693333,661.0,35.79,-9.053497942386832,70.66666666666667,13.768797777777776,13.70561628148148,0.0,1000.5402809629628,Winter,0.1642,0,0
2021-02-13,2,2021,LA GUARDIA ARPT,NY,SOUTHWEST AIRLINES,A  ,2.0,Climb,0.0,Unknown,No Precipitation,Unknown bird,Unknown,Unknown,40.777199,-73.872597,21.0,17.1,-2.3273273273273274,50.891891891891895,18.79013189189189,16.077741556756756,0.254,1024.3646701891892,Winter,0.2246,0,1
2021-02-21,2,2021,CHICAGO O'HARE INTL ARPT,IL,ENVOY AIR,A  ,2.0,Approach,4000.0,Overcast,No Precipitation,Unknown bird - small,No,Small,41.9786,-87.9048,680.0,4.16,-0.4954954954954955,75.35135135135135,18.877123243243243,8.894865675675675,9.652,989.9516258648648,Winter,0.1642,0,1
2021-02-22,2,2021,CENTENNIAL ARPT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Great horned owl,Unknown,Large,39.5701,-104.849,5885.0,22.18,6.616161616161617,35.484848484848484,20.433741212121213,16.069991418181814,0.0,833.2776993333334,Winter,0.2075,0,1
2021-02-11,2,2021,MONTROSE REGIONAL ARPT,CO,AMERICAN AIRLINES,A  ,2.0,Approach,10.0,No Cloud,No Precipitation,Unknown bird - small,No,Small,38.509799,-107.893997,5759.0,277.24,-10.775193798449612,80.3953488372093,13.960088837209302,5.099362209302326,0.0,831.1146099069769,Winter,0.2075,0,0
2021-02-12,2,2021,PEORIA INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Rusty blackbird,Unknown,Small,40.664167,-89.693333,661.0,35.79,-11.468253968253968,68.21428571428571,15.34620642857143,13.305793214285714,0.254,1003.725996,Winter,0.1642,0,0
2021-01-21,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,39.861698,-104.672997,5431.0,14.11,3.5185185185185186,43.30303030303031,17.31259696969697,16.069991418181814,0.0,830.6506816363636,Winter,0.275,0,1
2021-01-31,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Black-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,0.6944444444444444,42.15625,13.327346875,16.0692599,0.0,841.02053896875,Winter,0.275,0,2
2021-01-22,1,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Black-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,-0.0347222222222221,56.8125,10.309834375,16.0692599,0.0,828.7237102812501,Winter,0.275,0,2
2021-02-06,2,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,0.5892255892255892,46.24242424242424,15.99281625,16.069991418181814,0.0,825.5197876969697,Winter,0.2075,0,0
2021-03-03,3,2021,ROCKY MOUNTAIN METROPOLITAN ARPT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.908802,-105.116997,5673.0,8.79,6.857638888888889,37.1875,16.847778125,16.0692599,0.0,832.755630875,Spring,0.28,0,1
2021-03-03,3,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,White-tailed jackrabbit,Unknown,Large,39.861698,-104.672997,5431.0,14.11,6.857638888888889,37.1875,16.847778125,16.0692599,0.0,832.755630875,Spring,0.28,0,2
2021-02-24,2,2021,DENVER INTL AIRPORT,CO,SOUTHWEST AIRLINES,A  ,2.0,Landing Roll,0.0,No Cloud,No Precipitation,Horned lark,No,Small,39.861698,-104.672997,5431.0,14.11,-1.9444444444444444,71.02272727272727,20.66538863636364,9.807464263636364,10.16,836.86162875,Winter,0.2075,0,2
